,word,adult_definition,kids_definition,simplified,similarity
5907,spice,'A dried seed fruit root bark or vegetative substance used in nutritionally insignificant quantities as a food additive for the purpose of flavoring.',one of the various types of powder or seed that come from plants and are used in cooking. Spices have a strong taste and smell.,Spices come from plants and have a strong taste and smell. They are used in cooking to add flavor to food.,0.9341986
5908,beauty,'The quality of being beautiful.',the quality of giving pleasure to the senses or to the mind,"Something that is pleasing to the senses or mind, especially in a gentle or sophisticated way.",0.7926775
5909,predecessor,'One whom another follows or comes after in any office or position.',a thing such as a machine that has been followed or replaced by something else,"Some things, like old machines, are forgotten when they are replaced.",0.77161396
5910,reassurance,'The feeling of having confidence restored.',the fact of giving advice or help that takes away a person’s fears or doubts,Giving advice or help can make people feel more confident and comfortable.,0.7876091
5911,cucumber,'The edible fruit of the cucumber plant having a green rind and crisp white flesh.',a long vegetable with dark green skin that is light green inside usually eaten raw,"It is a type of vegetable with dark green skin and light green inside, often eaten raw in salads.",0.8905065
5912,addition,'(arithmetic) the mathematical operation of increasing one amount by another. The result of adding two quantities is their sum.',the process of adding two or more numbers together to find their total,Counting two or more numbers to find the answer.,0.8674174
5913,perforation,'A series of holes created to facilitate the separation of two or more parts.',the process of splitting or tearing in such a way that a hole is left,"This is when something tears apart, leaving a hole.",0.7401557
5914,delegation,'A group of people authorised to represent a person or organisation.',a group of people who represent the views of an organization a country etc.,A group of people who speak for others.,0.8327887
5915,learn,'To acquire or attempt to acquire knowledge or an ability to do something.',to gain knowledge or skill by studying from experience from being taught etc.,"to learn by doing, being taught, and seeing.",0.7713242
5916,disco,'A nightclub where dancing takes place.',a club party or event where people dance to recorded pop music,A party where people dance to pop music.,0.90552646
5917,besiege,'To beset or surround with armed forces for the purpose of compelling to surrender.',to surround a building city etc. with soldiers until the people inside are forced to let you in,A king surrounds a city with soldiers until the people inside let him in.,0.82903945
5918,confidential,'Meant to be kept secret within a certain circle of persons; not intended to be known publicly.',meant to be kept secret and not told to or shared with other people,It is a secret and nobody should tell it to others.,0.8014133
